知识点编号,知识点内容
1.1.1,长度及其单位
1.1.2,长度的估测
1.1.3,刻度尺的使用
1.1.4,时间的测量
1.1.5,误差
1.2.1,机械运动
1.2.2,参照物及其选择
1.2.3,运动和静止的相对性
1.3.1,速度概念
1.3.2,速度公式及其应用
1.3.3,匀速直线运动特点
1.3.4,速度的图像
1.4.1,测量物体运动的平均速度
2.1.1,声音的产生
2.1.2,声音的传播条件
2.1.3,声速
2.1.4,回声
2.2.1,音调及音调与频率的关系
2.2.2,超声波与次声波
2.2.3,响度及响度与振幅的关系
2.2.4,音调、响度与音色的区分
2.3.1,声的利用
2.4.1,噪声及来源
2.4.2,噪声的等级
2.4.3,噪声的控制
3.1.1,摄氏温度
3.1.2,温度及温度计的使用与读数
3.1.3,温度计的原理
3.2.1,熔化凝固吸放热
3.2.2,熔化和凝固的探究实验
3.2.3,晶体和非晶体图像
3.3.1,汽化和液化现象
3.3.2,沸腾及沸腾条件
3.3.3,探究水的沸腾实验
3.3.4,蒸发
3.4.1,升华和凝华
3.99.1,物态变化现象综合
4.1.1,光与光源
4.1.2,光的直线传播及其应用
4.1.3,光的传播速度与光年
4.2.1,光的反射
4.2.2,光的反射定律
4.2.3,作光的反射光路图
4.2.4,镜面反射与漫反射
4.3.1,探究平面镜成像的特点
4.3.2,平面镜成像的原理、特点
4.3.3,平面镜成像的相关作图
4.4.1,光的折射规律
4.4.2,光折射的可逆性
4.4.3,光折射现象及应用
4.4.4,折射作图
4.5.1,光的色散和三原色
4.5.2,红外线和紫外线
4.99.1,光现象综合
5.1.1,透镜及其特点与分类
5.1.2,主光轴、光心、焦点和焦距
5.1.3,透镜的光路图
5.2.1,实像和虚像的区别
5.2.2,生活中的透镜
5.3.1,凸透镜成像规律及其探究实验
5.3.2,凸透镜成像的应用
5.4.1,眼睛及其视物原理
5.4.2,远(近）视眼的成因与矫正办法
6.1.1,物质的基本属性和特性
6.1.2,质量的测量与天平的使用
6.1.3,累积法测量微小质量
6.2.1,密度及其特性
6.2.2,密度公式及其应用
6.3.1,固体密度的测量
6.3.2,液体密度的测量
6.3.3,设计实验测密度
6.4.1,密度与温度的关系
6.4.2,密度的应用与物质鉴别
7.1.1,力的概念及单位
7.1.2,力的作用效果
7.1.3,力的三要素及力的示意图
7.1.4,力的相互作用
7.2.1,弹力
7.2.2,弹簧测力计及其使用
7.2.3,探究弹簧测力计原理的实验
7.3.2,重力的方向
7.3.3,重力示意图
7.3.4,探究影响重力大小因素的实验
7.3.5,重力及其大小的计算
8.1.1,力与运动的关系
8.1.2,阻力对物体运动的影响实验
8.1.3,牛顿第一定律
8.1.4,惯性及其现象
8.2.1,平衡状态的判断
8.2.2,探究二力平衡的条件
8.2.3,二力平衡的条件及其应用
8.2.4,力与图象的结合
8.3.1,摩擦力的方向和大小
8.3.2,探究影响摩擦力大小因素的实验
8.3.3,增大或减小摩擦的方法
8.4.1,力的合成与应用
9.1.1,探究压力的作用效果跟什么因素有关的实验
9.1.2,压强的大小及其计算
9.1.3,增大减小压强的方法及其应用
9.1.4,压强大小比较
9.2.1,探究液体压强的特点实验
9.2.2,液体压强的特点
9.2.3,液体压强的计算
9.2.4,连通器原理及其应用
9.2.5,利用平衡法求液体密度
9.3.1,大气压现象
9.3.2,大气压强的测量方法
9.3.3,沸点与气压 气压与高度关系
9.3.4,气压计和抽水机
9.5.1,液体压强与流速关系实验
9.5.2,飞机的升力
9.5.3,流体压强与流速的关系
10.1.1,浮力及其产生原因
10.1.2,探究影响浮力大小的因素
10.1.3,浮力的示意图
10.2.1,阿基米德原理
10.2.2,浮力大小的计算
10.3.1,物体的浮沉条件及其应用
10.3.2,浮力的利用
10.3.3,浮力大小的计算
11.1.1,是否做功的判断
11.1.2,功的计算及应用
11.2.1,功率的概念
11.2.2,功率大小的比较
11.2.3,功率的计算
11.2.4,功率的测量实验
11.3.1,探究影响物体动能大小的因素
11.3.2,动能大小的影响因素及对比
11.3.3,势能大小的影响因素及大小对比
11.3.4,动能和势能的大小变化
11.4.1,机械能及其转化
11.4.2,机械能守恒条件
12.1.1,力臂的画法
12.1.2,探究杠杆的平衡条件实验
12.1.3,杠杆的分类
12.1.4,杠杆中最小力的问题
12.1.5,杠杆的动态平衡分析
12.1.6,杠杆平衡条件的应用
12.3.1,定滑轮动滑轮及其工作特点
12.3.2,滑轮组绳子拉力的计算
12.3.3,滑轮组的设计与组装
12.4.1,有用功和额外功
12.4.2,滑轮（组）的机械效率
12.4.3,斜面的机械效率
12.4.5,滑轮（组）机械效率的测量实验
12.4.6,增大或减小机械效率的方法
12.4.7,机械效率的大小比较
13.1.1,比较不同物质的吸热能力
13.1.2,比热容的定义及其计算公式
13.1.3,热量的概念
13.1.4,热量的计算
13.2.1,物质的构成
13.2.2,分子热运动
13.2.3,分子间相互作用力
13.3.1,内能的概念
13.3.2,温度、热量与内能的关系
13.3.3,内能的改变
14.1.1,能量的转化或转移
14.1.2,能量守恒定律
14.2.1,热机
14.2.2,热机的四个冲程
14.3.1,燃料的热值
14.3.2,热机的效率
14.3.3,有关热机的计算
15.1.1,两种电荷
15.1.2,电荷间的相互作用规律
15.2.1,导体与绝缘体
15.2.2,电流的形成及方向
15.2.3,电源及其能量转化
15.2.4,电路的构成及电路图
15.2.5,有持续电流的条件
15.2.6,电路的三种状态
15.2.7,根据实物图画电路图
15.2.8,实物的电路连接
15.3.1,电路的基本连接方式
15.3.2,串联电路和并联电路的辨别
15.3.3,串、并联电路的设计
15.4.1,电流和电流的单位换算
15.4.2,电流的测量及电流表的使用
15.4.3,电流表的连接
15.5.1,探究串并联电路中的电流特点实验
15.5.2,串联电路的电流规律
15.5.3,并联电路的电流规律
16.1.1,电压和电压的单位换算
16.1.2,电压的测量及电压表的使用
16.1.3,电压表的连接
16.2.1,探究串、并联电路中的电压规律实验
16.2.2,串并联电路的电压规律
16.3.1,电阻
16.3.2,影响电阻大小的因素
16.3.3,半导体和超导体
16.4.1,滑动变阻器的原理及其使用
16.4.2,变阻器及其应用
17.1.1,探究电流与电压、电阻的关系实验
17.2.1,欧姆定律及其应用
17.3.1,伏安法测电阻的探究实验
17.4.1,电路的动态分析
18.1.1,电能表参数的理解
18.1.2,电功及电功的实质
18.2.1,电功率析含义及常见的电功率
18.2.2,电功率与电能、时间的关系
18.2.3,电功率与电压、电流的关系
18.2.4,电功率的计算
18.2.5,额定电压和额定功率 实际电压与实际功率
18.2.6,探究用电器的电功率实验
18.4.1,电流的热效应
